"lat","lon","Nucifraga_caryocatactes","Merops_apiaster","Grus_grus","Coenagrion_mercuriale","Ophiogomphus_cecilia","Phaneroptera_falcata","Pinus_cembra","Corylus_avellana"
40.25,-0.75,0,1,0,1,0,0,0,1
40.25,-0.25,0,1,0,1,0,0,0,1
40.25,0.25,0,1,0,1,0,0,0,0
40.25,3.75,0,0,0,0,0,0,0,0
40.25,4.25,0,0,0,0,0,0,0,0
40.25,8.25,0,0,0,0,0,0,0,0
40.25,8.75,0,1,0,0,0,0,0,0
40.25,9.25,0,1,0,0,0,0,0,0
40.25,9.75,0,0,0,0,0,0,0,0
40.25,14.75,0,0,0,1,0,0,0,0
40.25,15.25,0,1,0,1,0,0,0,0
40.25,15.75,0,0,0,1,0,0,0,1
40.25,16.25,0,1,0,1,0,0,0,1
40.25,16.75,0,0,0,1,0,0,0,0
40.25,17.25,0,0,0,1,0,0,0,0
40.25,17.75,0,0,0,1,0,0,0,0
40.25,18.25,0,0,0,1,0,0,0,0
40.25,19.25,0,0,0,0,0,0,0,0
40.25,19.75,0,0,0,0,0,0,0,1
40.25,20.25,0,0,0,0,0,0,0,1
40.25,20.75,0,0,0,0,0,0,0,1
40.25,21.25,0,1,0,0,0,0,0,1
40.25,21.75,0,1,0,0,0,0,0,1
40.25,22.25,0,1,0,0,0,0,0,1
40.25,22.75,0,0,0,0,0,0,0,0
40.25,23.25,0,1,0,0,0,0,0,0
40.25,23.75,0,1,0,0,0,0,0,0
40.25,24.25,0,0,0,0,0,0,0,0
40.25,25.25,0,0,0,0,0,0,0,0
40.25,25.75,0,1,0,0,0,0,0,0
40.75,-8.75,0,0,0,1,0,0,0,0
40.75,-8.25,0,0,0,1,0,0,0,1
40.75,-7.75,0,0,0,1,0,0,0,1
40.75,-7.25,0,0,0,1,0,0,0,0
40.75,-6.75,0,1,0,1,0,0,0,0
40.75,-6.25,0,1,0,1,0,0,0,0
40.75,-5.75,0,1,0,1,0,0,0,0
40.75,-5.25,0,1,0,1,0,0,0,0
40.75,-4.75,0,0,0,1,0,0,0,0
40.75,-4.25,0,1,0,1,0,0,0,1
40.75,-3.75,0,1,0,1,0,0,0,0
40.75,-3.25,0,1,0,1,0,0,0,0
40.75,-2.75,0,1,0,1,0,0,0,0
40.75,-2.25,0,1,0,1,0,0,0,1
40.75,-1.75,0,1,0,1,0,0,0,0
40.75,-1.25,0,0,0,1,0,0,0,0
40.75,-0.75,0,1,0,1,0,0,0,0
40.75,-0.25,0,1,0,1,0,0,0,1
40.75,0.25,0,1,0,1,0,0,0,1
40.75,0.75,0,0,0,1,0,0,0,1
40.75,8.25,0,0,0,0,0,0,0,0
40.75,8.75,0,1,0,0,0,0,0,0
40.75,9.25,0,1,0,0,0,0,0,0
40.75,9.75,0,0,0,0,0,0,0,0
40.75,13.75,0,0,0,1,0,0,0,0
40.75,14.25,0,1,0,1,0,0,0,0
40.75,14.75,0,0,0,1,0,0,0,1
40.75,15.25,0,1,0,1,0,0,0,1
40.75,15.75,0,1,0,1,0,0,0,1
40.75,16.25,0,0,0,1,0,0,0,1
40.75,16.75,0,0,0,1,0,0,0,1
40.75,17.25,0,0,0,1,0,0,0,0
40.75,17.75,0,0,0,1,0,0,0,0
40.75,18.25,0,0,0,1,0,0,0,0
40.75,19.25,0,0,0,0,0,0,0,0
40.75,19.75,0,0,0,0,0,0,0,0
40.75,20.25,0,0,0,0,0,0,0,1
40.75,20.75,0,0,0,0,0,0,0,1
40.75,21.25,1,1,0,0,0,0,0,1
40.75,21.75,0,1,0,0,0,0,0,1
40.75,22.25,0,1,0,0,0,0,0,1
40.75,22.75,0,0,0,0,0,0,0,0
40.75,23.25,0,1,0,0,1,0,0,0
40.75,23.75,0,1,0,0,1,0,0,0
40.75,24.25,1,1,0,0,0,0,0,0
40.75,24.75,0,0,0,0,0,0,0,0
40.75,25.25,0,0,0,0,0,0,0,0
40.75,25.75,0,1,0,0,0,0,0,0
40.75,26.25,0,1,0,0,0,0,0,0
41.25,-8.75,0,0,0,1,0,0,0,0
41.25,-8.25,0,0,0,1,0,0,0,1
41.25,-7.75,0,1,0,1,0,0,0,1
41.25,-7.25,0,0,0,1,0,0,0,0
41.25,-6.75,0,1,0,1,0,0,0,0
41.25,-6.25,0,1,0,1,0,0,0,0
41.25,-5.75,0,1,0,1,0,0,0,0
41.25,-5.25,0,1,0,1,0,0,0,0
41.25,-4.75,0,0,0,1,0,0,0,0
41.25,-4.25,0,1,0,1,0,0,0,0
41.25,-3.75,0,1,0,1,0,0,0,1
41.25,-3.25,0,1,0,1,0,0,0,1
41.25,-2.75,0,1,0,1,0,0,0,1
41.25,-2.25,0,0,0,1,0,0,0,0
41.25,-1.75,0,1,0,1,0,0,0,0
41.25,-1.25,0,0,0,1,0,0,0,0
41.25,-0.75,0,1,0,1,0,0,0,0
41.25,-0.25,0,1,0,1,0,0,0,0
41.25,0.25,0,1,0,1,0,0,0,0
41.25,0.75,0,1,0,1,0,0,0,1
41.25,1.25,0,0,0,1,0,0,0,1
41.25,1.75,0,1,0,1,0,0,0,1
41.25,2.25,0,1,0,1,0,0,0,0
41.25,8.25,0,0,0,0,0,0,0,0
41.25,8.75,0,0,0,0,0,0,0,0
41.25,9.25,0,1,0,0,0,0,0,0
41.25,9.75,0,0,0,0,0,0,0,0
41.25,12.75,0,0,0,1,0,0,0,0
41.25,13.25,0,0,0,1,0,0,0,0
41.25,13.75,0,1,0,1,0,0,0,1
41.25,14.25,0,1,0,1,0,0,0,1
41.25,14.75,0,1,0,1,0,0,0,1
41.25,15.25,0,0,0,1,0,0,0,1
41.25,15.75,0,1,0,1,0,0,0,0
41.25,16.25,0,0,0,1,0,0,0,0
41.25,16.75,0,0,0,1,0,0,0,0
41.25,17.25,0,0,0,1,0,0,0,0
41.25,19.25,0,0,0,0,0,0,0,0
41.25,19.75,0,0,0,0,0,0,0,0
41.25,20.25,0,0,0,0,0,0,0,1
41.25,20.75,0,0,0,0,0,0,0,1
41.25,21.25,0,0,0,0,0,0,0,1
41.25,21.75,0,1,0,0,1,0,0,1
41.25,22.25,0,1,0,0,1,0,0,1
41.25,22.75,0,0,0,0,1,0,0,1
41.25,23.25,1,1,0,0,1,0,0,1
41.25,23.75,1,1,0,0,1,0,0,1
41.25,24.25,1,1,0,0,1,0,0,0
41.25,24.75,0,1,0,0,1,0,0,1
41.25,25.25,0,0,0,0,1,0,0,1
41.25,25.75,0,1,0,0,1,0,0,1
41.25,26.25,0,1,0,0,0,0,0,0
41.25,26.75,0,1,0,0,1,0,0,0
41.75,-8.75,0,0,0,1,0,0,0,1
41.75,-8.25,0,0,0,1,0,0,0,1
41.75,-7.75,0,0,0,1,0,0,0,1
41.75,-7.25,0,1,0,1,0,0,0,1
41.75,-6.75,0,1,0,1,0,0,0,1
41.75,-6.25,0,1,0,1,0,0,0,0
41.75,-5.75,0,1,0,1,0,0,0,0
41.75,-5.25,0,1,0,1,0,0,0,0
41.75,-4.75,0,1,0,1,0,0,0,0
41.75,-4.25,0,0,0,1,0,0,0,0
41.75,-3.75,0,1,0,1,0,0,0,0
41.75,-3.25,0,1,0,1,0,0,0,1
41.75,-2.75,0,1,0,1,0,0,0,1
41.75,-2.25,0,1,0,1,0,0,0,0
41.75,-1.75,0,0,0,1,0,0,0,0
41.75,-1.25,0,1,0,1,0,0,0,0
41.75,-0.75,0,1,0,1,0,0,0,0
41.75,-0.25,0,1,0,1,0,0,0,0
41.75,0.25,0,1,0,1,0,0,0,0
41.75,0.75,0,1,0,1,0,0,0,1
41.75,1.25,0,1,0,1,0,0,0,1
41.75,1.75,0,0,0,1,0,0,0,1
41.75,2.25,0,1,0,1,0,0,0,1
41.75,2.75,0,1,0,1,0,0,0,1
41.75,3.25,0,0,0,1,0,0,0,0
41.75,8.75,0,1,0,0,0,0,0,0
41.75,9.25,0,1,0,0,0,0,0,0
41.75,12.25,0,1,0,1,0,0,0,0
41.75,12.75,0,1,0,1,0,0,0,1
41.75,13.25,0,0,0,1,0,0,0,1
41.75,13.75,0,0,0,1,0,0,0,1
41.75,14.25,0,1,0,1,0,0,0,1
41.75,14.75,0,1,0,1,0,0,0,1
41.75,15.25,0,1,0,1,0,0,0,0
41.75,15.75,0,1,0,1,0,0,0,0
41.75,16.25,0,0,0,1,0,0,0,0
41.75,19.25,0,0,0,0,0,0,0,0
41.75,19.75,0,0,0,0,0,0,0,0
41.75,20.25,0,0,0,0,0,0,0,1
41.75,20.75,1,0,0,0,0,0,0,1
41.75,21.25,0,0,0,0,0,0,0,1
41.75,21.75,0,1,0,0,1,0,0,1
41.75,22.25,0,0,0,0,1,0,0,1
41.75,22.75,0,1,0,0,1,0,0,1
41.75,23.25,1,1,0,0,1,0,0,1
41.75,23.75,1,1,0,0,1,0,0,1
41.75,24.25,1,0,0,0,1,0,0,1
41.75,24.75,1,1,0,0,1,0,0,1
41.75,25.25,0,1,0,0,1,0,0,1
41.75,25.75,0,0,0,0,1,0,0,1
41.75,26.25,0,1,0,0,1,0,0,0
41.75,26.75,0,1,0,0,1,0,0,0
41.75,27.25,0,0,0,0,1,0,0,0
41.75,27.75,0,1,0,0,1,0,0,1
42.25,-8.75,0,0,0,1,0,0,0,0
42.25,-8.25,0,0,0,1,0,0,0,1
42.25,-7.75,0,0,0,1,0,0,0,1
42.25,-7.25,0,0,0,1,0,0,0,1
42.25,-6.75,0,1,0,1,0,0,0,1
42.25,-6.25,0,1,0,1,0,0,0,0
42.25,-5.75,0,1,0,1,0,0,0,0
42.25,-5.25,0,1,0,1,0,0,0,0
42.25,-4.75,0,1,0,1,0,0,0,0
42.25,-4.25,0,0,0,1,0,0,0,0
42.25,-3.75,0,1,0,1,0,0,0,0
42.25,-3.25,0,1,0,1,0,0,0,1
42.25,-2.75,0,1,0,1,0,0,0,1
42.25,-2.25,0,1,0,1,0,0,0,1
42.25,-1.75,0,0,0,1,0,0,0,1
42.25,-1.25,0,1,0,1,0,0,0,0
42.25,-0.75,0,1,0,1,0,0,0,0
42.25,-0.25,0,1,0,1,0,0,0,1
42.25,0.25,0,1,0,1,0,0,0,1
42.25,0.75,0,1,0,1,0,0,0,1
42.25,1.25,0,1,0,1,0,0,0,1
42.25,1.75,0,0,0,1,0,0,0,1
42.25,2.25,0,1,0,1,0,0,0,1
42.25,2.75,0,1,0,1,0,0,0,1
42.25,3.25,0,1,0,1,0,0,0,0
42.25,8.75,0,1,0,0,0,0,0,0
42.25,9.25,0,1,0,0,0,0,0,1
42.25,9.75,0,0,0,0,0,0,0,0
42.25,10.75,0,0,0,1,0,0,0,0
42.25,11.25,0,0,0,1,0,0,0,0
42.25,11.75,0,1,0,1,0,0,0,1
42.25,12.25,0,1,0,1,0,0,0,1
42.25,12.75,0,1,0,1,0,0,0,1
42.25,13.25,0,0,0,1,0,0,0,1
42.25,13.75,0,0,0,1,0,0,0,1
42.25,14.25,0,1,0,1,0,0,0,0
42.25,14.75,0,1,0,1,0,0,0,0
42.25,18.25,0,0,0,0,0,0,0,0
42.25,18.75,0,0,0,0,0,0,0,0
42.25,19.25,0,0,0,0,0,0,0,0
